Date,Open,High,Low,Close,Volume,Change
2023-07-13,23300,24700,23050,23950,665209,0.07640449438202257
2023-07-14,24000,24750,23450,23600,247975,-0.014613778705636737
2023-07-17,23700,25050,23000,24750,310312,0.048728813559322015
2023-07-18,24750,25250,24050,25200,253943,0.018181818181818077
2023-07-19,26000,26450,25000,25250,602239,0.001984126984126977
2023-07-20,25800,26400,25150,25400,219692,0.005940594059405946
2023-07-21,24900,27050,24300,26100,792540,0.027559055118110187
2023-07-24,26600,26900,25000,25300,341583,-0.03065134099616862
2023-07-25,25150,25150,23500,23650,268742,-0.06521739130434778
2023-07-26,23400,23600,21600,21700,341286,-0.08245243128964064
2023-07-27,21750,23050,21750,22250,198266,0.025345622119815614
2023-07-28,22250,24200,22250,23900,251290,0.07415730337078652
2023-07-31,24200,26850,23200,25850,976785,0.08158995815899583
2023-08-01,26100,29900,26050,28000,3726953,0.0831721470019342
2023-08-02,27650,29250,26850,27250,821907,-0.0267857142857143
2023-08-03,26550,26750,24400,25100,544078,-0.07889908256880729
2023-08-04,25100,27350,25000,27050,549441,0.07768924302788838
2023-08-07,27050,27750,25650,26250,510546,-0.02957486136783738
2023-08-08,26400,26800,24800,25150,277872,-0.04190476190476189
2023-08-09,25050,25300,24100,24850,175605,-0.011928429423459286
2023-08-10,24550,24550,23050,23450,249661,-0.05633802816901412
2023-08-11,23450,23800,23000,23350,142736,-0.004264392324093813
2023-08-14,23350,24000,22650,23250,188957,-0.004282655246252709
